iter	MultiClass
0	1.374611508
1	1.360541694
2	1.35041808633	1.33722280444	1.32942516855	1.32038585266	1.30871904977	1.29602452888	1.28712136999	1.271742851010	1.260381331111	1.249973921212	1.241474941313	1.231088591414	1.219675821515	1.209091251616	1.202868711717	1.194177018	18	1.18375841919	1.173868752020	1.165532962121	1.15658094222	1.148695177223	1.139388517224	1.130403732525	1.123420012626	1.112301522727	1.104779722828	1.096347482929	1.088454443030	1.076843613131	1.069761473
32	1.062020571
33	1.053293917
34	1.04666748
35	1.038746193336	1.028761398
37	1.021083273
38	1.01274395
39	1.006632367
40	1.000700418
41	0.9953780261
42	0.9869338852
43	0.9813571364
44	0.9747519421
45	0.9683398284
46	0.9599782672
47	0.954867704
48	0.9488569461
49	0.9383142731
50	0.931423242
51	0.9229318357
52	0.9139706938
53	0.9073490026
54	0.8999038534
55	0.8943653629
56	0.8858608259
57	0.8793321257
58	0.8750757239
59	0.8686284362
60	0.8623038063
61	0.8550195194
62	0.8494392141
63	0.8435847444
64	0.8375961959
65	0.8315752762
66	0.8250126616
67	0.8173454531
68	0.8092679263
69	0.8041145376
70	0.7989647608
71	0.7907148886
72	0.7845515834
73	0.7811222562
74	0.7736133397
75	0.7676562474
76	0.7621640959
77	0.7546331084
78	0.7480683975
79	0.7430620044
80	0.7372423223
81	0.7311066655
82	0.7281859102
83	0.7228256209
84	0.7176099031
85	0.7102387231
86	0.7034195749
87	0.6964761069
88	0.692681932
89	0.6868371603
90	0.6810489945
91	0.6765968296
92	0.6720097555
93	0.6659210222
94	0.6591835918
95	0.6530061774
96	0.6465919063
97	0.6404019371
98	0.6341635347
99	0.6282909887
100	0.6220592669
101	0.6169926712
102	0.6110708978
103	0.6058974843
104	0.6000468354
105	0.5933751953
106	0.5868623725
107	0.5806810197
108	0.5749556946
109	0.5697006565
110	0.5647762747
111	0.5600147861
112	0.5553413974
113	0.5505592887
114	0.5465924739
115	0.5429096366
116	0.5368111329
117	0.5327222556
118	0.5284385178
119	0.5242737008
120	0.5214742829
121	0.5176628983
122	0.5128995802
123	0.5085896208
124	0.5045955571
125	0.5012296117
126	0.4973159186
127	0.4941091078
128	0.489188141
129	0.4845853156
130	0.4807085347
131	0.4771344123
132	0.4730084088
133	0.4699131391
134	0.4655878739
135	0.4615624447
136	0.4579820725
137	0.4543643045
138	0.449693261
139	0.4458707538
140	0.4430956125
141	0.4393187333
142	0.4353838707
143	0.4321507102
144	0.4291580863
145	0.4258740947
146	0.4219900075
147	0.4186172762
148	0.4157790041
149	0.4122184248
150	0.4087877479
151	0.4057486774
152	0.4024292006
153	0.3992018053
154	0.3965096578
155	0.3941545384
156	0.389883628
157	0.3868158189
158	0.3846306725
159	0.3819358001
160	0.3787181868
161	0.3766955812
162	0.3737378425
163	0.3713451034
164	0.3687049409
165	0.3654168935
166	0.362517408
167	0.3592799742
168	0.3564712035
169	0.3541074399
170	0.3514134333
171	0.3493319686
172	0.3462345655
173	0.343637929
174	0.3415439133
175	0.3395859413
176	0.3378680315
177	0.3354226887
178	0.332357051
179	0.3297935397
180	0.3271128293
181	0.3239713498
182	0.3217099489
183	0.3192473401
