iter	Passed	Remaining
0	614	613853
1	1116	55721422	1485	49375033	1814	45171744	2193	43646455	2510	41586066	2913	413231
7	3251	40317388	3513	38686599	3787	374982110	4060	365089
11	4263	351029112	4539	344675113	4783	336872114	5024	329917115	5248	322801116	5543	320540117	5752	313810118	5984	308997119	6190	303336
20	6391	297972
21	6606	293700222	6802	288959223	7006	284915
24	7169	279626225	7384	276623226	7586	273383227	7798	270715228	8027	268789
29	8251	266804
30	8432	263572
31	8670	262296
32	8929	261666
33	9162	260326
34	9354	257904
35	9532	255262
36	9770	254290
37	9961	252176
38	10215	251718
39	10396	249510
40	10551	246803
41	10746	245112
42	10910	242815
43	11069	240503
44	11230	238343
45	11389	236208
46	11540	233994
47	11702	232093
48	11859	230164
49	12025	228485
50	12172	226497
51	12326	224721
52	12487	223133
53	12632	221301
54	12784	219668
55	12978	218779
56	13131	217243
57	13299	216005
58	13461	214707
59	13604	213130
60	13771	211997
61	13944	210960
62	14104	209772
63	14278	208825
64	14438	207694
65	14583	206375
66	14763	205581
67	14922	204525
68	15069	203323
69	15216	202157
70	15375	201186
71	15525	200104
72	15689	199235
73	15841	198231
74	16006	197410
75	16152	196377
76	16306	195466
77	16468	194665
78	16641	194007
79	16819	193429
80	16978	192628
81	17131	191785
82	17262	190720
83	17423	189997
84	17582	189270
85	17742	188563
86	17904	187893
87	18048	187049
88	18219	186496
89	18389	185940
90	18548	185283
91	18736	184925
92	18895	184279
93	19072	183829
94	19200	182913
95	19389	182583
96	19549	181992
97	19708	181401
98	19905	181163
99	20060	180548
100	20216	179944
101	20378	179408
102	20537	178859
103	20675	178124
104	20831	177561
105	21015	177241
106	21191	176863
107	21384	176621
108	21525	175952
109	21684	175444
110	21846	174972
111	21999	174423
112	22145	173832
113	22312	173408
114	22464	172875
115	22598	172217
116	22761	171784
117	22902	171184
118	23058	170709
119	23208	170198
120	23370	169772
121	23528	169327
122	23689	168909
123	23860	168560
124	24027	168189
125	24189	167793
126	24333	167266
127	24493	166861
128	24661	166511
129	24812	166049
130	24947	165492
131	25097	165032
132	25273	164754
133	25416	164256
134	25575	163875
135	25748	163581
136	25914	163240
137	26054	162746
138	26203	162313
139	26372	162001
140	26533	161648
141	26703	161347
142	26875	161067
143	27020	160622
144	27221	160514
145	27376	160132
146	27534	159775
147	27704	159486
148	27887	159278
149	28014	158746
150	28176	158421
151	28330	158052
152	28475	157641
153	28616	157206
154	28772	156856
155	28917	156449
156	29080	156147
157	29223	155736
158	29376	155383
159	29545	155115
160	29699	154767
161	29845	154387
162	29991	154004
163	30151	153696
164	30304	153357
165	30447	152972
166	30592	152598
167	30755	152310
168	30917	152028
169	31068	151688
170	31228	151396
171	31402	151172
172	31549	150818
173	31713	150546
174	31865	150224
175	32030	149963
176	32165	149559
177	32368	149476
178	32536	149233
179	32694	148939
180	32848	148636
181	33005	148345
182	33179	148131
183	33354	147920
184	33510	147628
185	33676	147379
186	33826	147062
187	33988	146799
188	34141	146501
189	34311	146275
190	34468	145994
191	34614	145670
192	34789	145466
193	34953	145219
194	35103	144913
195	35272	144689
196	35435	144438
197	35590	144159
198	35765	143962
199	35913	143652
200	36081	143427
201	36250	143207
202	36416	142973
203	36573	142709
204	36744	142497
205	36925	142324
206	37083	142064
207	37225	141743
208	37365	141415
209	37538	141216
210	37718	141040
211	37881	140804
212	38036	140540
213	38195	140286
214	38364	140074
215	38534	139864
216	38681	139575
217	38848	139354
218	39013	139130
219	39175	138893
220	39323	138609
221	39483	138370
222	39644	138132
223	39793	137856
224	39943	137582
225	40103	137346
226	40227	136985
227	40386	136747
228	40538	136486
229	40688	136216
230	40863	136034
231	41038	135852
232	41207	135648
233	41379	135455
234	41530	135194
235	41732	135101
236	41899	134890
237	42056	134651
238	42231	134470
239	42400	134267
240	42556	134027
241	42717	133802
242	42882	133587
243	43028	133319
244	43163	133015
245	43322	132786
246	43488	132577
247	43645	132345
248	43815	132151
249	43961	131884
250	44130	131686
251	44309	131523
252	44473	131312
253	44619	131048
254	44795	130872
255	44966	130684
256	45118	130440
257	45270	130195
258	45411	129923
259	45587	129749
260	45749	129535
261	45921	129350
262	46058	129068
263	46217	128847
264	46355	128570
265	46508	128336
266	46663	128105
267	46824	127893
268	46992	127700
269	47153	127488
270	47328	127315
271	47477	127072
272	47620	126812
273	47788	126621
274	47952	126419
275	48095	126163
276	48280	126017
277	48447	125823
278	48629	125669
279	48803	125495
280	48975	125315
281	49131	125094
282	49293	124887
283	49457	124688
284	49605	124448
285	49761	124228
286	49901	123971
287	50059	123757
288	50217	123545
289	50369	123317
290	50523	123096
291	50673	122865
292	50823	122635
293	50978	122416
294	51137	122210
295	51313	122041
296	51502	121906
297	51687	121760
298	51847	121554
299	52010	121358
300	52167	121146
301	52336	120963
302	52504	120778
303	52664	120573
304	52825	120373
305	52973	120143
306	53123	119917
307	53278	119704
308	53430	119483
309	53576	119250
310	53734	119045
311	53901	118858
312	54058	118651
313	54212	118439
314	54368	118229
315	54528	118030
316	54689	117831
317	54846	117626
318	55007	117430
319	55156	117207
320	55291	116956
321	55459	116774
322	55614	116567
323	55763	116347
324	55937	116177
325	56091	115969
326	56257	115783
327	56468	115692
328	56613	115464
329	56773	115266
330	56932	115068
331	57091	114871
332	57249	114671
333	57418	114492
334	57584	114309
335	57732	114090
336	57880	113872
337	58049	113693
338	58213	113508
339	58376	113319
340	58546	113144
341	58718	112973
342	58880	112782
343	59027	112564
344	59210	112414
345	59397	112271
346	59562	112088
347	59713	111876
348	59851	111641
349	60006	111440
350	60184	111281
351	60344	111089
352	60500	110888
353	60677	110727
354	60827	110517
355	60990	110331
356	61152	110142
357	61324	109972
